qid,entropy,confidence,max_retrieval_score
0,2.3022621779767816,-0.29502847138492505,9.89050006866455
1,2.3010686393350404,-0.13726001694569567,19.7012996673584
2,2.2953728657151324,-0.04752459031421557,14.594499588012695
3,2.3019645307055767,-0.07312647908046,17.172199249267578
4,2.30195274637583,-0.15503260586496015,16.12019920349121
5,2.302325721673961,-0.22852836118175035,16.38170051574707
6,2.301298382869121,-0.12980572674189794,20.667499542236328
7,2.2988184416785686,-0.13957995739022286,11.211199760437012
8,2.2987287421270652,-0.1911558902225874,21.5132999420166
9,2.29453100363498,-0.0627146556327054,20.314199447631836
10,2.302255208718702,-0.2617811031761813,9.871999740600586
11,2.2983564643413175,-0.014937856611845745,13.194899559020996
12,2.3022868343300344,-0.34650744850469906,10.853599548339844
13,2.300543620285534,-0.047168026889577774,13.631199836730957
14,2.3004620685463073,-0.1301515543930324,21.623199462890625
15,2.301371803317141,-0.2524944251533644,12.065199851989746
16,2.301800607230613,-0.20370364687986864,13.337900161743164
17,2.300811076158236,-0.20087427896356336,19.23710060119629
18,2.302355664076357,-0.21033054760696945,9.430299758911133
19,2.301605096240792,-0.3083113505596442,15.009200096130371
20,2.293836732315702,-0.05053236861729349,16.78019905090332
21,2.3014407934858774,-0.11834615222240608,19.3262996673584
22,2.3021437451756714,-0.26645115061204894,15.609700202941895
23,2.302032535481462,-0.20930056155869634,17.864200592041016
24,2.298795481290437,-0.019922051163513806,15.774200439453125
25,2.302238066839987,-0.22309064002018886,14.515700340270996
26,2.3022835682620606,-0.18506340281949019,10.764200210571289
27,2.3011727963357465,-0.32463759846414175,12.405699729919434
28,2.301844521307622,-0.04098845187925317,20.93670082092285
29,2.301838898253347,-0.102293195685451,21.2101993560791
30,2.3019330329991705,-0.03698613010888039,13.304400444030762
31,2.3014023379143818,-0.06367976022105193,19.919300079345703
32,2.301286059841657,-0.10274278294797212,16.486499786376953
33,2.301550485957919,-0.2418025489241723,14.810799598693848
34,2.301828484680532,-0.07886968954486177,12.53320026397705
35,2.302267242193044,-0.10794507601602354,15.919400215148926
36,2.3008021596520685,-0.18772557178534433,11.15999984741211
